date	tweet
9/25/2020 16:23	RT @thehitlistshow: #TheHitList fans @Arabelladaho and @jaadindaho are going head-to-head in a music knowledge challenge! It's the perfect…
9/24/2020 16:01	"""He absolutely adores football!"" ⚽🦙

Meet Oscar - the football-mad, pitch invading alpaca who interrupted a match i… https://t.co/duZXouUes1"
9/23/2020 16:01	"In this powerful and unflinching documentary, Freddie Flintoff goes on an acutely personal journey to explore the e… https://t.co/TEqTAfs6pw"
9/22/2020 23:10	"RT @bbcpress: WORLD EXCLUSIVE: To mark what would have been @JohnLennon’s 80th birthday, @SeanOnoLennon is in conversation with @JulianLenn…"
9/22/2020 16:01	"Paradise. Perversion. Sanctuary. Sin.

#BlackNarcissus, coming this December to @BBCOne and @BBCiPlayer.

https://t.co/3tc8VmHN1M"
9/21/2020 19:01	"#Ghosts is BACK for a brand new series! 👻🙌

8:30pm | @BBCOne &amp; @BBCiPlayer.

👉 https://t.co/NNyJpkPHqB https://t.co/DoxSNuItcY"
9/19/2020 8:50	RT @BBCNews: Ruth Bader Ginsburg: Supreme Court Justice dies https://t.co/WkPRyyr7iH
9/17/2020 16:13	"RT @cbbc: Blue Peter is now on @YouTube 🥳 Go subscribe! https://t.co/FT7pmwQ0rl
#BluePeter #YouTube #Subscribe 
@adam_byt @linds_bluepeter…"
9/17/2020 16:13	"RT @cbbc: Blue Peter is now on @YouTube 🥳 Go subscribe! https://t.co/FT7pmwQ0rl
#BluePeter #YouTube #Subscribe 
@adam_byt @linds_bluepeter…"
9/17/2020 16:01	"""In the midst of our busy lives, the natural world can offer us a place of tranquility and rest.""

Take 3 minutes a… https://t.co/0eLIbL5Tra"
9/16/2020 18:01	"Tonight on #SimpleComforts, Mary Berry discovers the hidden gems along the Thames. 🍽 

8pm | @BBCTwo &amp; @BBCiPlayer.… https://t.co/ui8szUaN6V"
9/16/2020 16:01	"It’s baaaaaaaaack! Who’s excited for more #Ghosts? 👻🙌

Series Two starts Monday, 8.30pm, @BBCOne, with all episodes… https://t.co/x1L2BeqGgx"
9/15/2020 16:01	"""I do truly believe that together we can create a better future.""

Britain's favourite naturalist Sir David Attenbo… https://t.co/4vdx08cFmG"
9/15/2020 10:44	"RT @bbcpress: Seven Worlds, One Planet 🐋
An incredible Women's World Cup ⚽
The return of Gavin and Stacey ❤️
That drum solo 🥁😂

And so much…"
9/15/2020 6:34	"RT @bbcpress: 📺 10 TV services
▶️ BBC iPlayer
📻 10 national radio stations
📍 39 local radio stations
🎧 BBC Sounds
💻 1 of the UK's most popu…"
9/14/2020 16:01	"The boys are back with a brand new series of @BBC_TopGear
 and here's a sneak peek of what they've been up to...

Y… https://t.co/x1lxJRTYrb"
9/14/2020 13:30	Scientists believe that our destructive relationship with nature is putting us at greater risk of pandemic diseases… https://t.co/VoC78oqw2C
9/14/2020 11:11	"“What happens next is up to every one of us.” – Sir David Attenborough

#ExtinctionTheFacts is now playing on… https://t.co/0j0z1JiCJU"
9/13/2020 18:01	"Make a note… ✍

#Strike: #LethalWhite concludes tonight at 9pm on @BBCOne and @BBCiPlayer.

👉… https://t.co/TJLQSCmZS4"
9/13/2020 11:00	"When Sir David Attenborough met Lonesome George.

#ExtinctionTheFacts, 8pm Sunday on @BBCOne and @BBCiPlayer… https://t.co/gS3OAZnxzK"
9/12/2020 18:01	"Oscar-winning #Memento is not just any murder mystery... it plays out backwards 🤯

9:45pm / @BBCTwo &amp; @bbciplayer.… https://t.co/KR3z79773O"
9/12/2020 17:30	"40 years ago, Sir David Attenborough had a famous encounter with a family of mountain gorillas. Today, thanks to co… https://t.co/dAVDBf33UJ"
9/12/2020 12:01	"Want to be more creative? Here are some ideas! 🧠💡

Made by @bbceas in partnership with @OpenUniversity.

https://t.co/URby96Lz9R"
9/11/2020 19:01	#Zodiac starring #JakeGyllenhaal is a tense thriller based on real events surrounding the so-called Zodiac killer.… https://t.co/LajFZjtGj7
9/11/2020 15:04	"RT @HackerTDog: Happy 35th anniversary week @cbbc! Check out my full anniversary film here cockers:
https://t.co/lL4ZE2MwH7
And listen to s…"
9/11/2020 14:18	"RT @BBCPhilharmonic: 🎶💻📱Pick A Part: a new interactive experience from @BBCRD &amp; the BBC Philharmonic! 
📖Find out more... https://t.co/4JBSA…"
9/11/2020 13:01	"“We are at a turning point. What happens next is up to every one of us.”

#ExtinctionTheFacts. Sunday 13 September.… https://t.co/XYc28HrN6w"
9/10/2020 16:01	"The powerful stories of three people who have come close to suicide, but decided to live.… https://t.co/xvq7ajZppU"
9/10/2020 16:01	"The powerful stories of three people who have come close to suicide, but decided to live.… https://t.co/xvq7ajZppU"
9/10/2020 13:01	"The power struggle within wolf packs is pretty terrifying 😰

#AnimalPark https://t.co/Gh5JorCk9r"
9/9/2020 18:01	"#MaryBerry is back with a brand new series. 🙌

Mary Berry's #SimpleComforts | 8pm | @BBCTwo &amp; @BBCiPlayer.… https://t.co/n4ty95fia8"
9/9/2020 17:01	".@BegumNadiya is back to put some delicious twists on classic bakes!  🍰

#NadiyaBakes | 8:30pm | @BBCTwo &amp;… https://t.co/VDzevAY1ox"
9/9/2020 11:51	"RT @CBeebiesHQ: Let's try and get this 35th anniversary trending! 

Share your @BBC Childrens memories with the hashtag #BroomCupboard35

🥳…"
9/9/2020 11:50	"RT @CBeebiesHQ: We're celebrating 35 years since the Broom Cupboard started...🎉

What’s your earliest BBC Children’s memory? 🤔

#BroomCupbo…"
9/9/2020 11:08	"RT @bbcpress: 📺 @richardosman's House Of Games Night coming to primetime on @BBCOne, with  Jennifer Saunders (@ferrifrump), @jjenas8, @Rois…"
9/8/2020 16:01	"""On the surface everything appears still, but look closer and we see that change is everywhere."" 🏜… https://t.co/yieOxaz28W"
9/8/2020 13:34	"RT @bbcthree: ""I hope this email finds you well.""

How the email finds you: https://t.co/GfyWlpyHwe"
9/8/2020 10:18	"RT @BBCArtsPR: We are thrilled to announce our @bbcarts autumn season, extending #CultureinQuarantine. To celebrate, here's a new poem from…"
9/8/2020 9:01	RT @bbcproms: It's the final encore vote of the 2020 season! You decide what you want to hear in the @philharmonia Prom conducted by Paavo…
9/7/2020 16:01	"There was a second verse to 
@louistheroux's rap that’s never been released before now…

It’s just as awkward as th… https://t.co/jpzJw8Jmrc"
9/7/2020 9:00	"RT @bbcpress: 📺 @DomLittlewood examines the booming home delivery industry, Kym Marsh (@msm4rsh) and @AshleyJBaptiste investigate online fr…"
9/7/2020 8:32	RT @bbcpress: 🎙 @Emmabarnett to be the new host of Woman’s Hour - https://t.co/MYTbG02M6g https://t.co/f30WCDb1gK
9/6/2020 18:01	"Are Strike and Robin any closer to the truth?

#Strike: #LethalWhite continues tonight at 9pm on @BBCOne and… https://t.co/mGXb1xhh2h"
9/5/2020 18:01	"#BattlestarGalactica is back 🙌

9:45pm | @BBCTwo &amp; @BBCiPlayer.

👉 https://t.co/8fvQQqUAVb https://t.co/hHdFEb2WlQ"
9/4/2020 16:01	"Operating on one of the world's rarest tigers = the definition of stress 😰
#AnimalPark

WARNING: This video contain… https://t.co/GgQoP4NIP2"
9/3/2020 16:01	"You can ask for anything if you're wearing a low cut top.

Via @bbcthree.
https://t.co/hujjJLVvNY"
9/2/2020 16:01	"""If I had to go home knowing there's still people out there suffering and I chose to do nothing, I wouldn't be able… https://t.co/56eKya5FHA"
9/2/2020 8:06	"RT @BBCR1: YES CLARA! ❤️

#Strictly https://t.co/KnHZRABiP5"
9/2/2020 8:06	"RT @BBCR1: YES CLARA! ❤️

#Strictly https://t.co/KnHZRABiP5"
9/2/2020 8:05	RT @BBCNews: Boxer Nicola Adams announced as Strictly Come Dancing's first contestant in same-sex pair https://t.co/bB6acCxnOE
9/1/2020 13:07	RT @bbcstrictly: 🚨It's happening! Meet the first three celebrities of #Strictly 2020 TONIGHT! @BBCTheOneShow 7pm 🚨 https://t.co/4M3P7mf037
9/1/2020 12:01	"Hans Zimmer and Dave unite to give us a brand-new score for the natural world, but how was this achieved in lockdow… https://t.co/6HzmTXr9V7"
9/1/2020 9:51	"Mother of God.

#LineOfDuty has resumed filming for Series 6. 🎬

Coming soon to @BBCOne &amp; @BBCiPlayer.

👉… https://t.co/AGGQq0YSLF"
8/31/2020 18:01	"Strike and Robin fear their witness could be in danger and must act quickly.

#Strike: #LethalWhite continues tonig… https://t.co/WWg4mq4qRT"
8/31/2020 17:01	"Escape with Sir David Attenborough to the world’s wildest places, with a new musical score by @HansZimmer and… https://t.co/q7oQ6jF99j"
8/30/2020 18:01	Jason Isaacs narrates the story of @LFC's quest to return to the top of English football by winning the… https://t.co/bU8Zd6hoFC
8/30/2020 17:01	"Cormoran Strike is BACK!

Strike and Robin investigate the blackmail of a government minister and the case of a str… https://t.co/2hvdkb20is"
8/29/2020 12:11	RT @BBCWorld: Chadwick Boseman: Tributes pour in for Black Panther actor https://t.co/Um4hz5KayS
