date,tweet
2020-09-17 16:13:06,"RT @cbbc: Blue Peter is now on @YouTube 🥳 Go subscribe! https://t.co/FT7pmwQ0rl
#BluePeter #YouTube #Subscribe 
@adam_byt @linds_bluepeter…"
2020-09-17 16:13:06,"RT @cbbc: Blue Peter is now on @YouTube 🥳 Go subscribe! https://t.co/FT7pmwQ0rl
#BluePeter #YouTube #Subscribe 
@adam_byt @linds_bluepeter…"
2020-09-17 16:01:00,"""In the midst of our busy lives, the natural world can offer us a place of tranquility and rest.""

Take 3 minutes a… https://t.co/0eLIbL5Tra"
2020-09-16 18:01:00,"Tonight on #SimpleComforts, Mary Berry discovers the hidden gems along the Thames. 🍽 

8pm | @BBCTwo &amp; @BBCiPlayer.… https://t.co/ui8szUaN6V"
2020-09-16 16:01:00,"It’s baaaaaaaaack! Who’s excited for more #Ghosts? 👻🙌

Series Two starts Monday, 8.30pm, @BBCOne, with all episodes… https://t.co/x1L2BeqGgx"
2020-09-15 16:01:00,"""I do truly believe that together we can create a better future.""

Britain's favourite naturalist Sir David Attenbo… https://t.co/4vdx08cFmG"
2020-09-15 10:44:54,"RT @bbcpress: Seven Worlds, One Planet 🐋
An incredible Women's World Cup ⚽
The return of Gavin and Stacey ❤️
That drum solo 🥁😂

And so much…"
2020-09-15 06:34:00,"RT @bbcpress: 📺 10 TV services
▶️ BBC iPlayer
📻 10 national radio stations
📍 39 local radio stations
🎧 BBC Sounds
💻 1 of the UK's most popu…"
2020-09-14 16:01:00,"The boys are back with a brand new series of @BBC_TopGear
 and here's a sneak peek of what they've been up to...

Y… https://t.co/x1lxJRTYrb"
2020-09-14 13:30:00,Scientists believe that our destructive relationship with nature is putting us at greater risk of pandemic diseases… https://t.co/VoC78oqw2C
2020-09-14 11:11:18,"“What happens next is up to every one of us.” – Sir David Attenborough

#ExtinctionTheFacts is now playing on… https://t.co/0j0z1JiCJU"
2020-09-13 18:01:00,"Make a note… ✍

#Strike: #LethalWhite concludes tonight at 9pm on @BBCOne and @BBCiPlayer.

👉… https://t.co/TJLQSCmZS4"
2020-09-13 11:00:00,"When Sir David Attenborough met Lonesome George.

#ExtinctionTheFacts, 8pm Sunday on @BBCOne and @BBCiPlayer… https://t.co/gS3OAZnxzK"
2020-09-12 18:01:00,"Oscar-winning #Memento is not just any murder mystery... it plays out backwards 🤯

9:45pm / @BBCTwo &amp; @bbciplayer.… https://t.co/KR3z79773O"
2020-09-12 17:30:00,"40 years ago, Sir David Attenborough had a famous encounter with a family of mountain gorillas. Today, thanks to co… https://t.co/dAVDBf33UJ"
2020-09-12 12:01:00,"Want to be more creative? Here are some ideas! 🧠💡

Made by @bbceas in partnership with @OpenUniversity.

https://t.co/URby96Lz9R"
2020-09-11 19:01:00,#Zodiac starring #JakeGyllenhaal is a tense thriller based on real events surrounding the so-called Zodiac killer.… https://t.co/LajFZjtGj7
2020-09-11 15:04:52,"RT @HackerTDog: Happy 35th anniversary week @cbbc! Check out my full anniversary film here cockers:
https://t.co/lL4ZE2MwH7
And listen to s…"
2020-09-11 14:18:43,"RT @BBCPhilharmonic: 🎶💻📱Pick A Part: a new interactive experience from @BBCRD &amp; the BBC Philharmonic! 
📖Find out more... https://t.co/4JBSA…"
2020-09-11 13:01:00,"“We are at a turning point. What happens next is up to every one of us.”

#ExtinctionTheFacts. Sunday 13 September.… https://t.co/XYc28HrN6w"
2020-09-10 16:01:00,"The powerful stories of three people who have come close to suicide, but decided to live.… https://t.co/xvq7ajZppU"
2020-09-10 16:01:00,"The powerful stories of three people who have come close to suicide, but decided to live.… https://t.co/xvq7ajZppU"
2020-09-10 13:01:00,"The power struggle within wolf packs is pretty terrifying 😰

#AnimalPark https://t.co/Gh5JorCk9r"
2020-09-09 18:01:00,"#MaryBerry is back with a brand new series. 🙌

Mary Berry's #SimpleComforts | 8pm | @BBCTwo &amp; @BBCiPlayer.… https://t.co/n4ty95fia8"
2020-09-09 17:01:00,".@BegumNadiya is back to put some delicious twists on classic bakes!  🍰

#NadiyaBakes | 8:30pm | @BBCTwo &amp;… https://t.co/VDzevAY1ox"
2020-09-09 11:51:08,"RT @CBeebiesHQ: Let's try and get this 35th anniversary trending! 

Share your @BBC Childrens memories with the hashtag #BroomCupboard35

🥳…"
2020-09-09 11:50:05,"RT @CBeebiesHQ: We're celebrating 35 years since the Broom Cupboard started...🎉

What’s your earliest BBC Children’s memory? 🤔

#BroomCupbo…"
2020-09-09 11:08:42,"RT @bbcpress: 📺 @richardosman's House Of Games Night coming to primetime on @BBCOne, with  Jennifer Saunders (@ferrifrump), @jjenas8, @Rois…"
2020-09-08 16:01:00,"""On the surface everything appears still, but look closer and we see that change is everywhere."" 🏜… https://t.co/yieOxaz28W"
2020-09-08 13:34:11,"RT @bbcthree: ""I hope this email finds you well.""

How the email finds you: https://t.co/GfyWlpyHwe"
2020-09-08 10:18:26,"RT @BBCArtsPR: We are thrilled to announce our @bbcarts autumn season, extending #CultureinQuarantine. To celebrate, here's a new poem from…"
2020-09-08 09:01:24,RT @bbcproms: It's the final encore vote of the 2020 season! You decide what you want to hear in the @philharmonia Prom conducted by Paavo…
2020-09-07 16:01:00,"There was a second verse to 
@louistheroux's rap that’s never been released before now…

It’s just as awkward as th… https://t.co/jpzJw8Jmrc"
2020-09-07 09:00:44,"RT @bbcpress: 📺 @DomLittlewood examines the booming home delivery industry, Kym Marsh (@msm4rsh) and @AshleyJBaptiste investigate online fr…"
2020-09-07 08:32:56,RT @bbcpress: 🎙 @Emmabarnett to be the new host of Woman’s Hour - https://t.co/MYTbG02M6g https://t.co/f30WCDb1gK
2020-09-06 18:01:00,"Are Strike and Robin any closer to the truth?

#Strike: #LethalWhite continues tonight at 9pm on @BBCOne and… https://t.co/mGXb1xhh2h"
